बश	bs
ही	hi
लिखा	likha
होगा	hoga
तुमने	tmne
लड़की	ladki
की	ki
बात	baat
चुद	chood
यार	yaar
और	aur
ये	ye
बटा	bata
यार	yaar
वो	woh
जो	jo
था	tha
उसका	uska
क्या	kya
था	tha
भी	bhi
करने	krne
लग	lg
गया	gya
क्या	kya
बीटी	bt
है	hai
तरक्कि	trakki
पे	pe
हाई	hai
दूर	dur
ही	hi
रहाना	rhana
बरना	vrna
में	me
अपने	apne
पास	pas
रखता	rkhta
हू	hu
सारी	sari
गलिय़ा	goliya
में	me
उतर	utar
दूंगा	dunga
म	m
हर	har
लड़की	ladki
तेरी	teri
जैसी	jaisi
हो	ho
जाए	jaye
तो	toh
कोई	koi
कुभि	kuvh
बोल	bol
ही	he
नहीं	nhi
सकता	skta
लोगों	logo
की	ki
तरह	tarah
कौन	kaun
करता	krta
है	h
यह	yaha
साला	sala
पर	par
रुक	ruk
तो	to
सकता	skta
है	h
नही	nahi
कोई	koi
जा	jaha
देखो	dekho
तोरते	todte
है	h
कुत्तो	kutto
ने	ne
भी	b
बना	bna
दिया	dia
के	k
तो	to
तोड़ने	todne
के	k
लिए	liye
होते	hote
है	h
हमारे	hamare
के	k
लिए	liye
ही	hi
होते	hote
है	h
कभि	kbi
सूना	suna
है	h
के	k
एक	ek
वाला	wala
पर	par
रुक	ruka
और	aur
से	se
कुचला	kuchla
गया	gya
नही	nahi
ना	na
से	se
वही	vahi
मरता	mrta
है	h
जो	jo
करता	krta
है	h
हामारे	hmare
तोड़ने	todne
से	se
ही	hi
शुरू	shuru
होती	hoti
है	h
तबहि	tabhi
मैने	mene
मैं	m
नहीं	nhi
लिय़ा	lia
मेरा	mera
भी	v
हो	ho
गया	gya
था	tha
जो	jo
भी	v
हो	ho
के	k
ऐसे	aise
ही	hi
होते	hote
है	h
ओर	or
ये	ye
तुम्हे	tumhe
पहली	pehli
बार	br
पाता	pta
चला	chla
है	h
क्या	kya
यब	jb
इतना	itna
होता	hota
है	h
तो	to
लोग	log
क्यू	q
बनाते	bnate
है	h
इतना	itne
सारे	sare
नटङ्कि	nautanki
ओय	oye
ना	na
ले	le
यार	yar
मैं	m
भी	b
वाला	wala
हू	hu
लगना	lagna
कोई	koi
गलत	galat
बात	baat
नी	ni
है	hai
मुझे	mujhe
भी	b
आई	aayi
थी	thi
में	me
आ	aa
बात	baat
है	hai
ये	ye
इसे	isse
पहले	pahle
उनको	unko
कहो	khud
पाता	pta
चल	chal
जाए	jaye
ये	ye
दे	de
तो	to
दिया	dia
है	hai
तुमने	tumne
क्या	kya
तुम	tum
कर	kr
सकते	saktye
हो	ho
जो	jo
अपना	apna
कीमती	kimti
दे	de
रहे	rhe
हो	ho
लानत	lanat
है	hai
तुम्हारे	tumhare
ऐसे	aise
प्यार	pyar
को	ko
जो	jo
मा	ma
बाप	bap
को	ko
छोने	chodhne
की	ki
रहे	raye
देता	deta
हो	ho
आ	a
तेरे	tere
साथ	saath
ऐसा	aisa
नही	nahi
होना	hona
चाहिए	chahiye
था	tha
यार	yaar
गलत	galat
है	hai
ये	ye
तेरे	tere
साथ	saath
तो	to
एक	ek
को	ko
नही	nahi
सबको	sabko
होना	hona
चाहिए	chahiye
था	tha
तेरी	teri
तशरीफ	tashreef
पे	pe
लात	laat
मरके	marke
छोड़ना	chhodna
चाहिए	chahiye
था	tha
तब	tab
ठीक	theek
होता	hota
आप	app
तो	to
भी	bhi
जाते	jaate
होंगे	hoge
मेरे	mere
घर	ghar
वाले	wale
तो	too
मुझे	mujhe
नही	nahi
जाने	jane
देते	dete
किउकि	kyoki
भाउत	bhaut
लिय़ा	ladiya
करता	kerta
हू	hu
आपको	aapko
कोई	koi
कुछ	kuch
बोले	bole
तो	too
मुझे	mujhe
बटा	bata
देना	dena
या	ya
कर	ker
देना	dena
ना	naa
बिश्वाश	viswas
हो	ho
तो	too
आजमाकेर	ajmaker
देख	dekh
लेना	lena
में	me
कालु	kalu
अगर	agr
किसी	kisi
लके	ldke
को	ko
सिर्फ़	sirf
करनि	krni
हो	ho
तो	to
मेरे	mr
ग्याय़े	gye
हुँ	hn
क्या	kya
लड़की	ldki
के	k
साथ	sath
सिर्फ़	sirf
के	k
लिए	liye
ही	hi
हो	ho
सकति	skti
है	h
बरना	wrna
फोकट	fokat
में	me
करने	krne
क	k
लिए	liye
किसीके	kiske
पास	paas
पैसा	paisa
ओर	or
फालतु	faaltu
है	h
ओर	or
दरार	drr
रह	rahe
वो	wo
अलग	alg
पाता	pta
नहीं	nhi
किस	kis
छोकरि	chhokri
का	ka
भाई	bhai
गुण्डा	gundda
हो	ho
के	k
साथ	sath
सिर्फ़	sirf
पर	p
ही	hi
हो	ho
सकति	skti
है	h
तो	to
दिल	dil
वबे-इमान	be-imaan
होगा	hoga
ही	hi
बरना	wrna
ओर	or
अलग	alg
अलग	alg
क्यू	kyu
बनाता	bnata
ही	hi
बनना	bna
देता	deta
से	se
स्वभाबिक	swaabhawik
है	h
मेरा	mera
का	ka
भी	b
यही	yahi
हाल	haal
था	tha
शाले	sale
को	ko
निकाल	nikaal
फेका	pheka
ज्यायसे	jese
लोग	log
दुध	dudh
में	me
से	sae
मक्खी	makhi
निकाल	nikaal
देते	dete
यार	yaar
सारी	saare
में	mein
है	hai
क्या	kya
या	ya
सिर्फ़	sirf
में	mein
बेचारे	bechaare
भी	v
क्या	kya
करे	kare
देश	desh
के	k
सारी	saare
बच्चे	bachho
को	ko
में	mein
आके	aake
ही	hi
पढ़ना	padhna
होता	hota
है	hai
में	mein
हो	ho
गये	gaye
थी	thhe
बच	bach
गये	gaye
यार	yaar
यार	yaar
मेरा	mera
भी	vi
कुछ	kch
ऐसा	aisa
ही	hi
मैं	main
तो	to
अपनी	apni
को	ko
लेकर	lekar
भाग	bhag
जाऊँगा	jaunga
अगर	agar
बड़ा	bada
बनना	banna
चाहते	chahte
हो	ho
तो	toh
कहो	khud
अपने	apne
देश	desh
को	ko
बड़े	bade
करो	karo
अगर	agar
इतना	itna
ही	hi
उसे	us
पसन्द	pasand
है	hai
यह	yeh
लोग	log
है	hai
जो	jo
भंडारे	bhandare
की	ki
से	se
निकलने	nikalne
के	ke
बाद	bd
भी	bi
आलु	aloo
की	ki
सवब्जि	sbji
मांगने	mnge
आ	a
याते	jte
है	hai
ठरकी	tharki
करने	karne
के	ke
लिए	liye
बड़ा	bada
है	hai
तू	tu
ओर	or
बच्चो	bachhe
के	ke
उठाने	uthane
के	ke
लिए	liye
बेचारी	bechari
उस	us
लड़की	ladki
पर	per
क्या	kya
गुजर	gujar
रही	rahi
होगी	hogi
की	ki
उसने	usne
किस	kiss
फट्टु	fattu
से	se
प्यार	pyaar
किया	kiya
है	hai
मर्द	mard
बना	bana
है	hai
है	hai
तो	to
मर्द	mard
बन	ban
पेहलि	phli
बार	bar
लड़की	ldki
का	ka
बनाने	bnane
के	k
बाद	bd
भी	b
उसने	usne
बोला	bola
पटाओ	pataao
सताओ	sataao
हटाओ	hataao
ऐसी	aisi
लड़कियो	ladkiyo
को	k
साथ	sath
तो	to
बश	bs
एहि	yhi
देना	dna
मैं	main
तो	to
नहीं	nhi
जाऊँगा	jaunga
करने	krne
काल	kal
जो	jo
उखाड़ना	ukhadna
है	h
उखाड़	ukhad
लो	lo
की	ki
लगी	lagi
पड़ी	pdi
है	hai
पीके	peeke
देखने	dekhne
पे	pe
सब	sb
आच्छा	acha
आच्छा	acha
लगेगा	lgega
तुम	tum
मेसे	mese
किसी	kisi
ने	ne
तर	tar
उसे	use
किया	kiya
ह	h
जो	jo
कर	kar
रह	rahe
हो	ho
उसे	use
माता	mata
सीटे	site
कहा	kaha
निबासे	niwase
है	h
आप	aap
दर्शन	darshan
देदे	dede
की	ki
माँ	maa
इतनी	itni
पड़ी	padi
है	h
संस्कृति	sanskriti
की	ki
तो	to
थोड़ी	thodi
उठाले	uthale
से	se
देवी	devi
जुते	joote
खाति	khati
है	h
आप	aap
तो	to
यार	yaar
देदे	dede
बहत	bht
दिन	din
से	se
कोई	koi
भी	b
नही	ni
मिली	mili
लेकर	lekar
याओ	jaeo
रखी	rakhi
बन्देगि	bandegi
वो	vo
तो	to
कुछ	kuch
तो	to
होना	hona
छाय़े	chaheye
ना	na
तो	to
आप	ap
भी	b
खेला	khela
करो	kro
ना	na
उनके	unk
साथ	sath
वाली	wali
नही	nahi
हुए	hue
बश	bs
अब	ab
आने	ane
ला	lag
गए	gye
है	h
कर	kar
दे	de
वरना	warna
पिछबारे	pichware
पे	pe
लाथ	laat
मार	mar
के	k
बाहर	bahar
निकालूँ	mikalun
गा	ga
क्या	kya
है	h
ये	ye
आज	aaj
से	se
पहले	pehle
इतनी	itni
नई	nai
थी	thi
इय़ार	yr
इस	is
से	se
आच्छा	acha
तो	to
तू	tu
एक	ek
ही	hi
कर	kr
देता	deta
बैसे	vase
मेरा	mera
बो	v
नेहि	nhe
आया	aya
एभि	avi
तक	tak
इतना	itna
लम्बा	lamba
पड़ने	padhne
से	se
अच्छा	accha
है	hai
मै	mai
दो	do
तीन	teen
कर	kar
लू	lu
या	ya
फिर	fir
दरवाजे	darwaaze
तोड़	tod
लू	lu
कम	kam
से	se
कम	kam
को	ko
लेकर	lekar
आऊंगा	aunga
करने	karne
में	mein
पढ़ने	padhne
की	ki
जरुरत	zarorat
इसलिए	isliye
हैं	hain
क्यूंकि	kyunki
साल	saal
पड़	padh
के	ke
भी	bhi
तुम्हे	tumhe
वो	woh
आया	aaya
नही	nahi
आखबार	akhbaar
तो	toh
पड़ते	padhte
नही	nahi
हो	ho
ही	hi
पड़	padh
लो	lo
कुछ	kuch
तो	toh
आयेगा	aayega
इस	is
रात	raat
की	ki
सुबह	subah
ही	hi
नही	nahi
लेना	lena
था	tha
इय़ार	yarrrr
जाने	jane
दे	de
तो	to
मुझे	mujhe
हो	ho
ग्याय़े	gye
भाव	bhav
खाति	khati
ह	h
अबे	abe
ये	ye
ने	ne
किया	kiya
ह	h
क्या	kya
साला	saala
खत्म	khatm
ही	he
नी	ni
हरा	hora
जो	jo
बंदा	banda
में	me
ह	h
वो	wo
वाला	bhala
कासे	kase
तुमहे	tmhe
दे	de
पाय़ेगा	payga
हामसे	hmse
क्या	kya
पूछ	puch
रहि	rhi
ह	h
तो	to
तुझे	tjhe
ब	b
पता	pata
ह	h
ठाकरन	tharkan
नई	nai
यार	yar
म्याय़ने	mne
ऐसा	aisa
कोई	koi
नई	nai
किय़ा	kia
में	me
कनसा	konsa
मार	mari
जो	jo
इतना	itna
क्र	kr
राहा	rha
ह	h
शादी	shaadi
करनि	krni
ह	h
तो	to
अपनी	apni
से	se
करो	karo
दुसरो	dusro
की	ki
से	se
तो	to
हमारे	humare
ब	b
करवबटे	karwate
ह	h
कोई	koi
बता	btaa
दो	do
की	ki
कवब	kb
आएगा	aaega
प	p
का	ka
अबे	abe
ढढक्कन	dhkan
थोेना	thodena
चल	chal
रहि	rhi
ह	h
की	ki
कुछ	kuch
बि	bi
वबकवबास	bkwaas
करेगा	krega
ओर	or
मिल्ल	mill
जाएगी	jayegi
आ	a
कहो	khud
ने	ne
खा	kha
थरकि	tharki
दूसरे	doosre
को	ko
कह	keh
राहा	rha
है	hai
जी	ji
तो	to
क	k
बोले	bole
क	k
तवब	tb
भी	bhi
तुम	tum
क	k
बोल	bol
रहे	rhe
हो	ho
तो	to
क	k
क्यू	kyu
नहीं	nhi
बोलते	bolte
की	ki
किसी	kisi
भी	bhi
अपने	apne
से	se
बड़ी	badi
उम्र	umar
क	k
इनसान	insan
क	k
लिए	liye
ये	ye
जानवर	janwar
करना	krna
सही	sahi
ह	h
क्या	kya
भाइय़ा	bahiyya
जी	ji
तो	to
जिन	jin
लोगों	logo
की	ki
आप	aap
बात	baat
क्र	kr
रहे	rhe
हो	ho
उनका	unka
शायद	shayad
किसी	kisi
अलग	alag
शब्द	shabd
से	se
सम्वबोधित	sambhodhit
किया	kiya
जाएगा	jayega
सो	so
क	k
पास	paas
हमेशा	hamesha
इतना	itne
होते	hote
की	ki
वाह	wah
नही	nahi
ले	le
पति	pati
हमेशा	hamesha
बेहतर	behtar
की	ki
खोंज	khoj
में	me
परेशां	pareshan
रहती	rahti
हैं	hain
ऐसे	aise
में	me
जब	jab
वो	wo
तक	thak
जाती	jati
हैं	hain
तो	to
ज़िन्दगी	zindagi
उन्हे	unhe
एक	ek
ऐसे	aise
आदमी	aadmi
क	k
साथ	sath
ज़िन्दगी	zindagi
भर	bhar
क	k
लिए	liye
करती	krti
ह	h
जैसे	jise
वाह	wah
ना	na
निगल	nigal
पति	pati
ह	h
ना	na
उगल	ugal
पति	pati
ह	h
तो	to
रखे	rakhe
क	k
पास	pas
भले	bhale
कम	kam
हो	ho
पर	par
क	k
साथ	sath
होते	hote
हैं	hain
वैसे	waise
व	v
तेरे	tere
पैसे	paise
वो	wo
से	se
नई	nai
निकल	nikal
सकता	sakta
बिना	bina
तेरे	tere
मारी	marzi
क	k
पूरा	pura
ना	na
बटा	bata
दे	de
क	k
रख	rakh
वरना	warna
पता	pata
चला	chala
तू	tu
लुक	ludakh
गयी	gayi
और	aur
वो	wo
पैसे	paise
किसी	kisi
क	k
का	kaam
नई	nai
आए	aaye
अगर	agr
इतनी	itni
ही	hi
है	hai
तो	toh
किसी	kisi
दूसरे	dusre
में	me
ले	le
ले	le
बे	be
तवब	tb
तुझे	tujhe
हो	ho
की	ki
तूने	tune
क्या	kya
किय़ा	kia
है	hai
पहले	pahle
यह	yeh
बटा	bata
की	ki
तेरी	teri
करने	karne
के	ke
बार	baad
भी	bhi
उसका	uska
तेरे	tere
में	me
हुआ	hua
चुथिय़ा	chutiya
बना	bana
रहा	raha
है	hai
में	me
साला	sala
और	aur
तेरी	teri
में	me
बीमारी	bimari
है	hai
क्या	kya
जो	jo
का	ka
तुझे	tujhe
दिखा	dikha
नही	nahi
चल	chal
हवा	hawa
आने	aane
दे	de
हम	ham
भी	bhi
करते	karte
हैं	hain
वो	wo
अनाथ	anath
ह	h
जो	jo
तुझसे	tujse
खरचे	kharche
करवबाटि	karwati
ह	h
और	aur
ऐसी	aisi
लड़कियो	ladkiyo
को	ko
जन्म	janm
जैसे	jaise
लड़के	ladke
देते	dete
हो	ho
एक	ek
बार	baar
करना	karna
आवबे	abey
इतना	itna
तो	toh
कोई	koi
एक	ek
तरफ़ा	tarfa
आशिक	aashiq
भी	bhi
नही	nahi
होता	hota
इतना	itna
ही	hi
करना	karna
था	tha
तो	toh
क्यू	kyu
डाला	daala
के	ke
बार	baad
पाउय़ा	pauua
पी	pi
के	ke
सोजा	soja
ता	ta
यहाँ	yahan
किसी	kisi
का	ka
वबच्चा	bachha
को	kho
गया	gaya
ही	he
लेयाय़े	lejaye
वो	wo
हो	ho
रहा	raha
ही	he
अब	ab
तुमहारा	tumhra
भाई	bhai
तुम्हे	tumhe
किय़ा	kia
करेगा	krega
वबच्चा	bcha
अब	ab
तो	to
तुम	tum
पर	pr
आएगा	aega
अरे	are
ये	ye
तो	to
मेरा	mera
पड़ोसी	padosi
निकला	nikla
वो	wo
ब	b
ये	ye
वाली	wali
देख	dkh
राहा	rha
ह	h
उछल	uchal
राहा	rha
है	hai
हुँ	hn
तो	to
तेरी	teri
वबहत	bhot
वबि	bdi
ह	h
अरे	arey
थोड़े	thode
पैसे	paise
तो	to
होंगे	honge
ना	na
और	aur
ना	na
हो	ho
तो	to
अपना	apna
पुराना	purana
वाला	wala
बेच	bech
के	ke
जो	jo
पैसे	paise
मिलेंगे	milenge
उस	usse
तू	tu
से	se
खरीद	kharid
ले	le
फिर	phr
को	ko
बोल	bol
दियो	diyo
की	ki
का	ka
था	tha
वो	wo
नहीं	nhi
करता	krta
था	tha
तो	to
मुझे	mjhe
दे	de
दिया	diya
ओर	or
तवब	tb
भी	bhi
ना	na
हो	ho
तो	to
ये	ye
क्या	kya
था	tha
जब	jab
पता	pata
है	hai
लोग	log
इतना	itna
लम्बा	lamba
नही	nahi
पड़ते	padte
है	hai
तो	to
फालतु	faltu
मै	mai
क्यू	kyu
करते	karte
हो	ho
भी	bhi
होगी	hogi
भी	bhi
नी	ni
शुतेगि	shootegi
और	aur
तुम	tum
दोनों	dono
का	ka
सच	sach
म	m
अच्छे	ache
होते	hote
ह	h
तुझे	tje
की	ki
इज्जत	ijjat
करनि	krni
चाहिए	chahiye
उनकी	unki
ठीक	thik
स	s
लिखनि	likhni
चाहिए	chahiye
आज	aaj
जो	jo
थोड़ी	thodi
वबहत	bht
आज़ादी	azaadi
ह	h
वो	wo
सिर्फ़	sirf
इन	in
जैसे	jaise
देशभक्त	deshbhagto
की	ki
वजह	wajah
से	se
इतना	itna
करने	karne
की	ki
क्या	kya
जरुरत	jarurat
थी	thi
अउकात	aukat
जा	jaa
री	ri
हू	hu
आज	aaj
तो	to
तुमने	tumne
इस	is
प	p
माना	mana
डाला	daala
अपना	apna
लिखा	likha
पेहला	phla
पो	pdho
पाता	pta
लागाओ	lagao
अब	ab
उसका	uska
और	aur
कान	kaan
क	k
नीचे	neeche
दो	do
ये	ye
लकिय़ा	ldkiya
ब	b
ना	na
हर	hr
जगह	jagah
दरार	drar
पड़ने	padane
लगी	lgi
रहती	rehti
ह	h
घर	ghr
तोड़ती	todti
रहती	rehti
ह	h
साले	saale
में	me
तो	to
मेरे	mere
नाड़ा	naada
नहीं	nhi
खिलता	khulta
तो	to
ओर	or
क्या	kya
क्र	kr
पाउङ्गा	paunga
चल	chal
का	ka
क्र	kr
इय़ार	yr
एक	ek
हो	had
तक	tk
ठिक	thk
ह	h
पर	par
में	mein
होना	hna
चाहिय़े	chahye
वबहत	bht
जरुरि	jaruri
ह	h
में	mein
ये	ye
कौन	kaun
से	se
ज़माने	zamane
से	se
आया	aaya
है	hai
कम	kam
से	se
कम	kam
हमारी	hamari
लागातार	lagataar
और	aur
बेहतर	behtar
हो	ho
रही	rahi
है	hai
इन	in
ये	ye
अपनी	apni
से	se
पूछ	puch
ना	na
हमसे	humse
क्यू	kyu
पूछ	puch
रहे	rhe
हो	ho
तूने	tune
को	ko
कैसे	kaise
फञ्छा	phncha
दिया	dia
में	me
पागल	pagal
हो	ho
गया	gaya
है	hai
क्या	kya
इक	ik
जोर	jor
का	ka
थाप	thappad
लागाओ	lagao
इक	ik
दिन	din
अकेले	akele
होते	hote
हो	ho
यार	yar
कल	kal
की	ki
बारिश	barish
म	m
पुराना	purana
ब	b
बह	beh
गया	gya
क्या	kya
कहानी	kahani
ये	ye
हलकट	halkat
जवानी	jawani
को	ko
ले	le
डूबेगी	dubegi
जो	jo
भी	bhi
कहो	kaho
ने	ne
की	ki
तो	tou
छोटी	choti
करवबादि	krwadi
मेरी	meri
भी	bhi
थी	thi
में	me
सवबमे	sbme
हो	ho
गया	gya
था	tha
में	me
हो	ho
ग्याय़ि	gyi
भर	bhar
क	k
आया	aya
क्र	kr
मस्त	mast
से	se
जो	jo
है	hai
वो	woh
लड़के	ladke
का	ka
है	hai
पहले	pahle
ही	hi
भाइय़ा	bhaiya
बन	ban
गया	gya
ये	ye
तो	to
अब	ab
साय़ा	saiyaa
वबनने	bnne
का	ka
दोनों	dono
क	k
शादि	shadi
क्र	kr
लिओ	lio
उफ	ufff
कैसे	kaise
कैसे	kaise
करते	krte
ह	h
लोग	log
यवब	jb
दोनों	dono
को	ko
पाटाय़ा	pataya
था	tha
तवब	tb
भी	bhi
हमसे	humse
ली	li
ती	ti
इस	is
उसका	uska
तेरी	teri
से	se
क्या	kya
ह	h
तो	to
मेरे	mere
पास	pas
व	v
ह्याय़	hainn
पर	pr
कोई	koi
मुझपे	mujhpe
क्यू	kyu
नी	ni
मरति	mrtii
ताश	taash
के	ke
कनसे	konse
की	ki
बाज़ी	baazi
ह	h
ये	ye
या	ya
फिर	fir
तीइन	teen
पट्टि	patti
दिल	dil
पत्थर	patthar
रख	rakh
क	k
गोली	goli
मार	mar
दे	de
कहो	khud
को	ko
थोड़ा	thoda
घुमा	ghuma
क	k
लिखनाथा	likhnatha
चाहिय़े	chahye
तो	to
बि	bi
तो	to
वबन	bn
अपनी	apni
किसी	kisi
स	s
करवबाय़ा	krwa
दे	de
जलले	jalle
में	me
डडालति	dalti
रहेगि	rhegi
क्या	kya
इसमें	isme
करने	karne
की	ki
क्या	kya
गल	gal
थी	thi
आप	aap
से	se
कछ	kch
नही	nahi
होगा	hoga
तो	too
समझने	smjhne
वाले	waale
समझ	smjh
ग्याय़े	gye
जो	jo
नहीं	nhi
समझे	smjhe
वो	wo
ह	h
इतनी	itni
च	c
बात	baat
क	k
लिए	liye
शादी	shaadi
कर	kar
ली	li
ये	ye
का	kaam
तो	toh
अपने	apne
में	me
दोस्तों	dosto
क	k
से	se
कर	kar
लेता	leta
हू	hu
आ	a
चीजो	cheezo
से	se
बाहर	bahar
निकाल	nikl
क	k
देखो	dekho
और	aur
ब	b
वबहत	bht
कुछ	kuch
ह	h
म	m
वबश	bs
करो	kroooooo
सुबह	subah
से	se
पद	pd
री	ri
हुँ	hunnnn
मय	may
बे	be
तू	tu
को	ko
बना	bana
रहा	raha
है	hai
कोई	koi
ह	h
करदे	krde
हामारे	hmare
लिए	liye
के	koe
ठान्डडा	thanda
पिलाओ	pilao
यार	yar
इसको	isko
चाहे	chahe
कुछ	kuch
क्र	kr
लो	lo
को	ko
जो	jo
करना	krna
है	hai
वो	vo
करते	krte
रहेंगे	rahenge
असे	ase
वबोलने	bolne
से	se
कुछ	kuch
होता	hota
तो	to
वबोलने	bolne
की	ki
जरुरत	jarurat
ही	he
ना	na
पड़ती	padti
या	ya
तो	to
जो	jo
है	hai
उसको	usko
करने	karne
का	ka
लो	lo
या	ya
फेर	pher
रोना	rona
धोना	dhona
बंद	band
करो	karo
भाई	bhai
तू	tu
है	hai
क्या	kya
होने	hone
पहले	pehle
जो	jo
की	ki
होती	hoti
है	hai
वो	vo
मिल	mil
जाती	jati
है	hai
नी	ni
तो	to
भाई	bhai
अगर	agr
से	se
मिल	mil
जाए	jaye
कही	kahi
पे	pe
भी	bh
तो	to
ले	le
ले	le
इय़ार	yr
क्र	kr
लियो	liyo
एइसि	ese
मरने	mrne
मारने	murane
पे	pe
तो	to
मत	mt
आ	aaa
हो	ho
जाएगा	jaega
की	ki
कहीं	kahin
कोई	koi
अउकात	aukat
नई	nai
है	hai
चाहे	chahe
हो	ho
या	ya
पिस्ते	piste
साले	saale
वाले	wale
हैं	hain
तूने	tune
लगता	lagta
ह	h
क	k
से	se
पंगा	panga
ले	le
लिया	liya
ह	h
हल्ला	halla
हो	ho
पहले	pahle
बात	bat
मन	man
ले	le
मेरी	meri
तो	to
लाना	laana
जो	jo
मै	mai
उस	us
दिन	din
पहेन	pahen
क्र	kr
गया	gya
था	tha
लकि	ldki
को	ko
से	se
वबाचाने	bchane
ने	ne
हद्द	hadd
कर	kar
रखी	rakhi
ह	h
साला	saala
आदमी	aadmi
हद्द	hadd
ह	h
मैंने	maine
क	k
कुछ	kuch
लिखा	likha
तो	toh
नहीं	nhi
हुआ	hua
इसने	isne
में	me
लिखा	likha
तो	toh
एक	ek
दम	dum
हो	ho
गया	gya
अँधा	andha
नहीं	nhi
ह	h
की	ki
को	ko
मत	mat
करो	kro
क्यूँ	kyun
देश	desh
की	ki
मारने	maarne
में	me
लगे	lge
हो	ho
क्या	kya
इतना	itne
गरीब	gareeb
हैं	hain
देश	desh
में	me
जो	jo
चान्द	chandd
सिक्कों	sikkon
में	me
अपना	apna
ईमान	imaan
बेच	bech
दे	de
अरे	are
यार	yaar
हम	hum
को	ko
से	se
कोई	koi
नही	nahi
है	hai
हम	hum
तो	to
बोलते	bolte
है	hai
की	ki
करदो	kardo
इनकी	inki
ऐसा	aisa
कितने	kitne
मै	mai
है	hai
भी	bhi
कितने	kitne
मै	mai
भी	bhi
कम	kam
ली	li
जाती	jaati
है	hai
जो	jo
की	ki
हम	hum
वाले	wale
माँ	maan
लेते	lete
है	hai
बीटी	bt
जब	jab
बात	baat
की	ki
आती	aati
है	hai
वबाँहा	wha
सबके	sabke
लिए	liye
एक	ek
होना	hona
चाहिए	chahiye
ऐसा	aisa
नी	ni
है	hai
की	ki
सारी	saare
होते	hote
है	hai
कुछ	kuch
भी	bhi
होते	hote
है	hai
बिल्कुल	bilkul
उनके	unke
जैसी	jaisi
की	ki
नी	ni
होती	hoti
वो	wo
भी	bhi
नी	ni
करते	karte
क	k
बोल	bol
कर	kar
हार	har
जगह	jageh
आत्याचार	atyachaar
भी	bhi
मत	mat
करो	karo
आप	aap
दोबारा	dobara
इँहा	yha
गलति	glti
से	se
ब	b
ना	na
करना	krna
तो	to
उ	u
सिर्फ़	sirf
आप	aap
में	me
ह	h
बाकी	baki
दुनिय़ा	dunia
तो	to
छू	chu
ह	h
भाई	bhai
आज	aj
तो	to
चुया	chooza
का	ka
जरुर	zrur
होगा	hoga
कोई	koi
मेरी	meri
में	me
पका	paka
दो	do
हामेसा	hmesa
से	se
जड़ा	jada
ही	hi
लगता	lagta
है	hai
थे	the
के	ke
लिए	liye
हम	hume
छोड़	chhod
के	ke
चला	chala
गया	gaya
प्यार	pyar
तो	to
देख	dkho
बीते	bete
का	ka
पैसा	paisa
पैसा	paisa
और	aur
सिर्फ़	sirf
पैसा	paisa
इसके	iske
क्या	kya
है	hai
क	k
वो	woh
दोबारा	dobara
ऐसा	aisa
नाहे	nahe
करेंगे	karege
उसके	uske
में	me
का	ka
जमाल	jamaal
गोता	ghota
मिला	mila
दे	de
फ़ुरसत	fursat
नही	nahi
मिलेगी	milegi
उस	use
फिर	fir
पीने	pine
की	ki
इतना	itne
सारी	saare
बेटा	beta
पूछे	puche
होते	hote
तो	to
आज	aj
ये	ye
हाल	haal
नी	ni
होता	hota
बेटा	beta
अगर	agar
हुई	hui
थी	thi
तो	to
तू	tu
भी	bhi
नहीं	nhi
बचा	bacha
होगा	hoga
उन	un
लोगों	logo
ने	ne
तुझे	tujhe
किया	kiya
था	tha
फिर	phir
भी	bhi
कोई	koi
नी	ni
चलो	chalo
पेहलि	phli
बार	bar
और	aur
धोके	dhokhe
से	se
अलग	alag
कछ	kch
किया	kiya
ह	h
ने	ne
भाइ	bhaee
मैं	main
तो	to
लका	ldka
हू	hu
मेरे	mere
तोड़ी	todi
ना	na
आय़ेङ्गि	ayengeee
कुछ	kuch
तो	toh
अलग	alag
किय़ा	kia
तूने	tune
अब	ab
क	k
ब	b
प्रचार	prachar
करेगा	karega
क्या	kya
इय़ार	yr
मिलता	milta
हू	hu
ना	na
कल	kal
तुझसे	tujhse
सवब	sb
ठिक	thk
हो	ho
जाएगा	jaega
में	me
यार	yaar
यह	yeh
लोग	log
पे	pe
क्यूँ	kyun
करते	karte
हैं	hain
पे	pe
करो	karo
इस	is
जग	jug
में	me
सुख	sukh
किसने	kisne
पाया	paya
ह	h
जिसने	jisne
पूरी	puri
पी	pee
ली	li
हो	ho
तू	tu
ये	ye
वबता	bta
की	ki
मै	mai
पता	pdta
कौन	kaun
है	hai
चुथिय़ा	chutiya
पास	pass
होने	hone
वाले	wale
बिना	bina
करे	kree
भी	bhi
हो	ho
सकते	skte
है	hai
वबश	bss
रख	rkho
चल	chal
पहले	pehle
से	se
चलने	chalne
वाले	waali
गाड़ी	gadi
वबनना	bna
फिर	fir
करना	krna
ये	ye
शाले	sale
ही	hi
करवबटे	karwate
है	hai
खाते	khate
का	ka
है	hai
गाते	gaate
जेहाद	jehaad
ह	h
भाई	bhai
असली	asli
हार	har
तो	to
तवब	tb
होति	hti
ह	h
यवब	jb
तू	tu
वबादशाह	badhshah
क	k
में	me
हार	har
जाए	jaye
होना	hona
चाहिय़े	chayiye
वबरना	vrna
भी	bhi
करते	karte
ह	h
दूर	dur
से	se
हाट	haat
हिला	hila
वो	wo
